Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province (E),Company,Status,Latitude,Longitude,Approximate Volume Released (m³),Substance (E),Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture (E),Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Land Use,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program
INC2020-077,Fire,7/28/2020,Abbotsford,British Columbia,Trans Mountain Pipeline ULC,Submitted,49.06567935,-122.1597143,Not Applicable,Not Applicable,Not Applicable,No,2020,7/28/2020 11:10,7/28/2020 11:10,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Inadequate guards or barriers;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks",Tools and Equipment,No pipeline interruption,Distribution,Construction,Employee / Contractor (Onsite),,No,No,Fire,,,,No,,Welding or Cutting,,,,,,,,,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",SUMAS,,49.06567935,-122.1597143,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-073,Operation Beyond Design Limits,7/14/2020,Edson,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,53.836111,-117.030833,Not Applicable,Not Applicable,Not Applicable,No,2020,,7/13/2020 2:40,,To be determined,,To be determined,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure on Land,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,Forests,10 or fewer dwelling units,11.5,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-072,Fire,7/12/2020,Burnaby ,British Columbia,Trans Mountain Pipeline ULC,Closed,49.29079839,-122.9502759,Not Applicable,Not Applicable,Not Applicable,No,2020,7/12/2020 4:00,7/12/2020 4:00,"Damage or deterioration mechanism, External Interference, Company Contractor;Substandard Acts, Failure to identify hazard or risk","External Interference, Incorrect Operation","External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Transmission,Construction,Scheduled Patrol,9/11/2020,No,No,Fire,,,,No,,Other Event (Nature or 3rd Party),,,,,,,,,0,OPR,TRANS MOUNTAIN EXPANSION PROJECT,"762.00000000, 914.00000000",946.1591548,Crude Oil,,Meter,,,Canada,No,No,No,No,Barren Land,11 to 45 dwelling units,,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-070,Operation Beyond Design Limits,7/8/2020,Bracebridge,Ontario,TransCanada PipeLines Limited,Initially Submitted,45.10426,-79.31686,Not Applicable,Not Applicable,Not Applicable,No,2020,,7/7/2020 2:50,,To be determined,,To be determined,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure on Land,,0,OPR,LINE 100-2,"508.00000000, 609.60000000, 762.00000000, 863.60000000, 914.40000000",3393.42642,Natural Gas,,,,,Canada,No,No,Yes,No,Forests,10 or fewer dwelling units,MLV121A + 4.48,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-067,Operation Beyond Design Limits,6/26/2020,Gordondale,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,55.79381,-119.03227,Not Applicable,Not Applicable,Not Applicable,No,2020,,6/25/2020 9:00,,To be determined,,To be determined,No pipeline interruption,Transmission,Operation,Landowner,,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure on Land,,0,OPR,GORDONDALE LATERAL - NPS 16,406.4,117.3814221,Natural Gas,,,,,Canada,No,No,Yes,No,Agricultural Cropland,10 or fewer dwelling units,,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-066,Operation Beyond Design Limits,6/25/2020,Thunder Bay,Ontario,TransCanada PipeLines Limited,Initially Submitted,48.93875,-89.774665,Not Applicable,Not Applicable,Not Applicable,No,2020,,6/24/2020 2:00,,To be determined,,To be determined,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure on Land,,0,OPR,LINE 100-2,"508.00000000, 609.60000000, 762.00000000, 863.60000000, 914.40000000",3393.42642,Natural Gas,,,,,Canada,No,No,Yes,No,Shrub Land,10 or fewer dwelling units,MLV66-2 +6.3km,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-065,Release of Substance,6/25/2020,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,55.7041176,-121.6282676,4.05,Natural Gas - Sweet,Gas,No,2020,6/24/2020 10:30,6/24/2020 10:30,"Damage or deterioration mechanism, Construction, Defective Branch Connection Weld",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Short-term interruption,Transmission,Maintenance,Employee / Contractor (Onsite),,Yes,No,Release of Substance,Natural Gas - Sweet,4.05,No,No,,,,,,,,,,,0,OPR,"30 Fort St. John Mainline""",,,,,Meter,,,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,79.6,Not Emergency,Inactive Investigation Level in Error,No,,"Pipeline, Fitting, Branch connection, Weld",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,No,Replacement,7/24/2020,No,6/24/2020,Non-destructive examination (NDE),No,No,6/24/2020,Replacement,No
INC2020-063,Operation Beyond Design Limits,6/18/2020,Gosnell,British Columbia,Trans Mountain Pipeline ULC,Submitted,52.506788,-119.106979,Not Applicable,Not Applicable,Not Applicable,No,2020,,6/17/2020 4:42,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring",Natural Force Damage,"External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Transmission,Maintenance,Employee / Contractor (Onsite),,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",,,,,Canada,No,No,Yes,No,Water / Wetlands,10 or fewer dwelling units,539.95,Not Emergency,Inactive Investigation Level in Error,No,,"Pipeline, Pipe, Girth weld;Pipeline, Pipe, Body",1953,NPS 24,Carbon Steel,359 - X52,,7.9 mm = 0.311 in,,7.9,6669,,,1.2,0,,1953,1953,,,,,,External,Coal Tar Enamel Narrow,,Field Applied,1953,No,,,No,11/15/2019,Inline Inspection (ILI),Yes,Yes,,,No
INC2020-061,"Explosion, Fire",6/15/2020,Hardisty,Alberta,TransCanada Keystone Pipeline GP Ltd.,Submitted,52.64363744,-111.2775357,Not Applicable,Not Applicable,Not Applicable,No,2020,6/15/2020 8:00,6/15/2020 7:47,"Substandard Conditions, Weather Related, Heavy rains or floods;Damage or deterioration mechanism, Electrical Power System Failure, Arc Flash;Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault","Equipment Failure, External Interference","External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),,Yes,No,"Explosion, Fire",,,,No,Equipment & Electrical,Equipment & Electrical,,,,,,,,,0,OPR,GIBSON WEST INTERCONNECT PIPELINE,914,1.15130787,Crude Oil,HARDISTY WEST INTERCONNECTING FACILITIES BOOSTER PUMP STATION,,52.64363744,-111.2775357,Canada,Yes,Yes,No,No,Developed Land - Industrial,"within 200 m of event side - an industrial installation (e.g., a chemical plant or a hazardous substance storage area) ",N/A ,Not Emergency,Inactive Investigation Level in Error,No,,"Station/Facility, Pumping, Electrical power system apparatus",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,Visual,Yes,Yes,,,No
INC2020-060,Operation Beyond Design Limits,6/14/2020,Drayton Valley AB,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,53.38098,-115.61765,Not Applicable,Not Applicable,Not Applicable,No,2020,,6/13/2020 11:36,,To be determined,,To be determined,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure on Land,,0,OPR,ETA LAKE,168.3,3.05657216,Natural Gas,,,,,Canada,No,No,Yes,No,Forests,10 or fewer dwelling units,N/A,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-059,Fire,6/14/2020,Rolphton ,Ontario,TransCanada PipeLines Limited,Submitted,46.152799,-77.690799,Not Applicable,Not Applicable,Not Applicable,No,2020,6/14/2020 1:38,6/14/2020 1:38,"Damage or deterioration mechanism, Structural Degradation, Overheating;Substandard Conditions, Inadequate guards or barriers","Defect and Deterioration, External Interference","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,No pipeline interruption,Transmission,Maintenance,Employee / Contractor (Onsite),,No,No,Fire,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,Line 1200-1,914.4,431.7076581,Natural Gas,,,,,Canada,Yes,No,No,No,Forests,10 or fewer dwelling units,MLV1207+11.990;,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-058,Operation Beyond Design Limits,6/14/2020,Edmonton,Alberta,Enbridge Pipelines Inc.,Submitted,53.543056,-113.354167,Not Applicable,Not Applicable,Not Applicable,No,2020,6/13/2020 7:15,6/13/2020 7:15,"Substandard Conditions, Inadequate guards or barriers;Substandard Conditions, Defective tools, equipment or materials;Substandard Conditions, Inadequate instructions or procedures",External Interference,"Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Engineering and Planning, Standards and Procedures",Short-term interruption,Transmission,Operation,SCADA,,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Overpressure - Maximum Operating Pressure,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,Developed Land - Industrial,"46 or more dwelling units, facilities, or institutions, or a combination of such structures intended for human occupancy from which rapid evacuation can be difficult (e.g., hospitals, nursing homes)",,Not Emergency,Inactive Investigation Level in Error,No,,"Station/Facility, Metering, Receiving, Valve, Gate, Stem;Station/Facility, Metering, Receiving, Valve, Pressure relief, Other (please explain)",,,,,,,,,1896,,2227,,,,2017,2017,,,,,,,,,,,No,,,Yes,,,No,Yes,,,No
INC2020-057,Release of Substance,6/13/2020,Abbotsford,British Columbia,Trans Mountain Pipeline ULC,Initially Submitted,49.06567935,-122.1597143,150,Crude Oil - Sweet,Liquid,No,2020,6/12/2020 11:23,6/13/2020 1:16,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Inadequate guards or barriers;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Equipment Failure, External Interference, Incorrect Operation","Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications;Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ","Standards and Procedures, Tools and Equipment",Short-term interruption,Transmission,Operation,Other Control System,,Yes,Yes,Release of Substance,Crude Oil - Sweet,150,No,No,,,,,,,,,,,0,OPR,Mainline,610,1596.893888,"Crude Oil, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",SUMAS,,49.06567935,-122.1597143,Canada,Yes,No,No,No,Developed Land - Small Commercial,10 or fewer dwelling units,km 1080,Not Emergency,Inactive Investigation Level in Error,No,,"Station/Facility, Pumping, Instrumentation and controls",CSA Z662-11,NPS 1,Stainless Steel,,,1.7 mm = 0.068 in,,1.7,9930,,5794,0,0,2015,2015,2015,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-056,Fire,6/6/2020,Midale,Saskatchewan,Kingston Midstream Limited,Closed,49.450559,-103.336958,Not Applicable,Not Applicable,Not Applicable,No,2020,6/6/2020 7:30,6/6/2020 7:20,"Substandard Conditions, Weather Related, High winds;Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Excessive wear and tear, Inadequate maintenance;Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Engineering and Planning, Maintenance, Standards and Procedures",No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),9/11/2020,Yes,No,Fire,,,,No,,Under Investigation or Unknown,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,Developed Land - Small Commercial,10 or fewer dwelling units,,Not Emergency,Inactive Investigation Level in Error,No,,"Station/Facility, Compression, Auxiliary device(s) (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2020-055,Explosion,6/6/2020,Baytree,Alberta,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Submitted,55.821969,-119.751665,Not Applicable,Not Applicable,Not Applicable,No,2020,6/6/2020 9:53,6/6/2020 9:58,"Damage or deterioration mechanism, Other Causes, Control System Malfunction;Substandard Conditions, Defective tools, equipment or materials","Equipment Failure, External Interference","Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units",Maintenance,Short-term interruption,Transmission,Operation,SCADA,,Yes,No,Explosion,,,,No,Equipment & Electrical,,,,,,,,,,0,OPR,"26 Alberta Mainline""",660.4,57.94913728,Natural Gas Sweet,Gordondale Compressor Station,,,,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units,0,Not Emergency,Inactive Investigation Level in Error,No,,"Station/Facility, Compression, Auxiliary device(s) (please explain)",1989 (ASME),,,,,,,,,,,,,1989,1989,1989,,,,,,,,,,,No,,,No,10/24/2019,Visual,Yes,No,10/24/2019,Testing of Functionality,Yes
INC2020-054,Operation Beyond Design Limits,6/5/2020,North York,Ontario,Trans-Northern Pipelines Inc.,Submitted,43.776405,-79.370181,Not Applicable,Not Applicable,Not Applicable,No,2020,,6/4/2020 1:30,"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring;Substandard Conditions, Inadequate guards or barriers","External Interference, Natural Force Damage","External Interference, Natural or Environmental Forces",Natural or Environmental Forces,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Exposure in a Waterbody,,0,OPR,Toronto Lateral,273.1,20.02955014,Refined Products-Aviation,,,,,Canada,No,No,Yes,No,Forests,"46 or more dwelling units, facilities, or institutions, or a combination of such structures intended for human occupancy from which rapid evacuation can be difficult (e.g., hospitals, nursing homes)",,Not Emergency,Inactive Investigation Level in Error,No,,"Pipeline, Pipe, Body",,NPS 10,Carbon Steel,241 - B,30,7.8 mm = 0.307 in,,,8412,,,,,,1951,1952,,,Straight,Electric Resistance Welded,,External,Polyethylene Tape Wrap,,,,No,,,No,,,No,No,,,No
INC2020-052,Fire,5/29/2020,Burnaby ,British Columbia,Trans Mountain Pipeline ULC,Closed,49.29079839,-122.9502759,Not Applicable,Not Applicable,Not Applicable,No,2020,5/29/2020 4:15,5/29/2020 4:15,"Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;External Interference, Third Party Actions",Tools and Equipment,No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),9/10/2020,No,No,Fire,,,,No,,Housekeeping,,,,,,,,,0,OPR,TRANS MOUNTAIN EXPANSION PROJECT,"762.00000000, 914.00000000",946.1591548,Crude Oil,WESTRIDGE MARINE TERMINAL,,49.29079839,-122.9502759,Canada,No,Yes,No,No,Developed Land - Industrial,11 to 45 dwelling units,1148,Not Emergency,Inactive Investigation Level in Error,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
