OccNo,OccClass,OccType,OccDate,OccTime,Province,Location,NearestLocationLongitude,NearestLocationLatitude,RegionOcc,RegionResponsible,PipelineOperator,FacilityName,FacilityType,PipelineName,PipelineType,ComponentAffected,ProductCarried,TypeOfProduct,DetectionMethod,LandUseType,EntityInvolved,HazardType,ThreatToPipeline,QuantityLost,QuantityRecovered,OccSummary,Fire,Explosion,ProductReleasedIndicator,ProductReleased,InterruptionOfPipelineOperations,Rupture,OperatedBeyondLimits,ProductLeftCoPropertyROW,TerrainEnvironmentalHazard,TSBDeployed,SignificantEnvironmentalImpact,ReportedDate,ReportedTime,TotalSeriousInjuries,TotalFatalInjuries
P00H0010,5,Incident,2/21/2000,16:30:00,Alberta,Grizzly,-117.2,54.25,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),0,0,Wapiti,Gathering Line,0,Other,OTHER,Employee / Contractor (Onsite),Marginal Land,0,0,0,0.0,0.0,"THE LINE FROM THE PUMP TO THE CORROSION INHIBITOR TANK EXPERIENCED A SMALL LEAK AT A PIPE FITTING JOINT.  THE TANK CONTAINED TRETOLITE, A CORROSION INHIBITOR (CLASS 3 INFLAMMABLE LIQUID) AND IS LOCATED INSIDE THE UTILITY SHACK.  AN ENVIRONMENTAL SERVICES COMPANY HANDLED THE CLEAN-UP.",False,False,True,Other,False,0,0,0,0,False,False,2/21/2000,16:30:00,0,0
P00H0012,5,Incident,3/1/2000,17:00:00,Saskatchewan,Burstall,-109.9,50.65,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,Compressor Station 2,Compressor Station,0,0,0,Natural Gas,GAS,SCADA,Station Property,0,0,0,16500.0,0.0,"A DISCHARGE BLOW-DOWN PRESSURE SWITCH FAILED ON THE ""E"" PLANT AFTER COOLER RESULTING IN AN UNINTENDED RELEASE OF NATURAL GAS THROUGH AN NPS-6 BLOW-DOWN VALVE. THE PROGRAMMABLE LOGIC CONTROLLER (PLC) INITIATED A CONTROLLED UNIT SHUTDOWN AND ISOLATION OF THE ""E"" PLANT FROM THE MAINLINE.  FAILURE OF THE SWITCH COULD HAVE BEEN DUE TO A TRANSIENT SPIKE.",False,False,True,Natural Gas,False,0,0,0,0,False,False,3/1/2000,17:00:00,0,0
P00H0015,5,Accident,3/2/2000,13:00:00,Alberta,Jenner,-111.18333333,50.75,Head Office,HEAD OFFICE,Foothills Pipe Lines Ltd.,Compressor Station 367,Compressor Station,0,0,0,Natural Gas,GAS,SCADA,Station Property,0,0,0,0.0,0.0,"A NEW TURBINE HAD JUST BEEN INSTALLED.  WHILE THE COMPRESSOR UNIT WAS BEING STARTED, A SMALL PIN-HOLE OR CRACK ON A 1-INCH SOCK-O-LET FITTING ON THE 3-INCH BALANCE PISTON LINE ALLOWED A NEGLIGIBLE AMOUNT OF NATURAL GAS TO ESCAPE.  NATURAL VIBRATION OF THE PIPING MAY HAVE CAUSED A FATIGUE FAILURE OF THE WELD.",False,False,True,Natural Gas,False,0,0,0,0,False,False,0,00:00:00,0,0
P00H0019,5,Accident,4/13/2000,11:30:00,Manitoba,Rapid City,-100.03583333,50.12083333,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,Compressor Station 30,Compressor Station,0,0,0,Natural Gas,GAS,SCADA,Station Property,0,0,0,0.0,0.0,A FRACTURE OCCURRED IN A 3/8 INCH STAINLESS STEEL TUBING LINE THAT SUPPLIES THE DRY SEAL PANEL.  THE FRACTURE WAS A RESULT OF HIGH STRESS ON THE TUBING IN CONJUNCTION WITH FLOW INDUCED MECHANICAL VIBRATION.,False,False,True,Natural Gas,False,0,0,0,0,False,False,0,00:00:00,0,0
P00H0020,5,Incident,5/3/2000,02:13:00,Manitoba,Winnipeg,-97.14638889,49.88444444,Head Office,HEAD OFFICE,Plains Midstream Canada Ulc,Winnipeg Terminal,Terminal,0,0,0,Natural Gas Liquids / LPG,HVP,LEAK DETECTION,Station Property,0,0,0,90.0,0.0,AN IMPROPERLY INSTALLED PLUG ON A RECEIVING TRAP BLEW OUT WHEN PIPELINE PRESSURE INCREASED DURING NORMAL OPERATIONS.,False,False,True,Natural Gas Liquids / LPG,False,0,0,0,0,True,False,0,00:00:00,0,0
P00H0017,5,Incident,3/29/2000,09:20:00,Ontario,Hearst,-83.66666667,49.68333333,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,0,0,Line 100-2,Transmission Line,0,Natural Gas,GAS,Employee / Contractor (Onsite),Marginal Land,0,0,0,0.0,0.0,A BELOW GROUND BODY BLEED VALVE FITTING LEAKED A NEGLIGIBLE AMOUNT OF NATURAL GAS.,False,False,True,Natural Gas,False,0,0,0,0,False,False,0,00:00:00,0,0
P00H0018,5,Accident,4/13/2000,16:00:00,Manitoba,Portage La Prairie,-98.29194444,49.97277778,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,0,0,Line 100-4,Transmission Line,0,Natural Gas,GAS,Employee / Contractor (Onsite),Marginal Land,0,0,0,0.0,0.0,A CRACKED NIPPLE ON A PRESSURE WARNING DEVICE ON A BLOW-OFF QUICK OPENING HIGH PRESSURE CLOSURE ALLOWED A NEGLIGIBLE VOLUME OF GAS TO ESCAPE.  A METALLURGICAL ANALYSIS INDICATED THAT HIGH STRESS/LOW CYCLE FATIGUE WAS THE MODE OF FAILURE.  THE FATIGUE MECHANISM MAY RELATED TO STRESS CAUSED BY OVERTIGHTENING THE CAP.   THE FATIGUE MECHANISM MAY ALSO BE RELATED TO STRESS CAUSED BY THE WEIGHT OF THE CAP IF THE CAP HAD BEEN LOOSENED BUT NOT REMOVED PRIOR TO A BLOWDOWN.,False,False,True,Natural Gas,False,0,0,0,0,False,False,0,00:00:00,0,0
P00H0024,5,Accident,5/8/2000,08:50:00,Alberta,Jenner,-111.18333333,50.75,Head Office,HEAD OFFICE,Foothills Pipe Lines Ltd.,Compressor Station 367,Compressor Station,0,0,0,Natural Gas,GAS,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,"NORMAL VIBRATION CAUSED A FATIGUE FAILURE WITHIN THE THREADED PORTION OF A 1/2"" NIPPLE ON A FUEL GAS LINE.  NEGLIGIBLE AMOUNT OF GAS WAS RELEASED.",False,False,True,Natural Gas,False,0,0,0,0,False,False,0,00:00:00,0,0
P00H0021,5,Incident,5/1/2000,07:52:00,Saskatchewan,Kennedy,-102.35,50.01666667,Head Office,HEAD OFFICE,Enbridge Pipelines Inc.,Langbank Pump Station,Pump Station,0,0,0,Natural Gas Liquids / LPG,HVP,SCADA,Station Property,0,0,0,0.0,0.0,A DENSITOMETER PUMP SEAL FAILED RESULTING IN A TRACE RELEASE OF NGL.  THIS ACTIVIATED THE GAS ALARM IN THE DENSITOMETER BUILDING.,False,False,True,Natural Gas Liquids / LPG,False,0,0,0,0,False,False,0,00:00:00,0,0
P00H0026,5,Incident,5/16/2000,12:00:00,British Columbia,East Pine,-121.21666667,55.71666667,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),Pine River Gas Plant,Gas Processing Plant,0,0,0,Other,OTHER,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,"FROM APPROXIMATELY MAY 10 - MAY 16, DIETHYLENE GLYCOL ESCAPED FROM A GLYCOL JACKETED PIPE SYSTEM.  THE PIPE HAD FROZEN AND THE JACKETING WAS FILLED WITH STEAM TO MELT THE PIPE.  WHEN THE JACKETING WAS PUT BACK INTO GLYCOL SERVICE, THE STEAM TRAPS WERE NOT ISOLATED OR REMOVED.  APPROXIMATELY 1.65 M3 OF GLYCOL LEAKED ONTO THE GROUND.",False,False,True,Other,False,0,0,0,0,False,True,5/17/2000,17:50:00,0,0
P00H0027,5,Incident,5/9/2000,0,Quebec,Montréal-Est,-73.51666667,45.63333333,Head Office,HEAD OFFICE,Montreal Pipe Line Ltd.,Montreal-East Terminal,Terminal,0,0,0,Crude Oil,LVP,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,"WHILE RESPONDING TO A HIGH SUMP ALARM SIGNAL AT THE MONTREAL-EAST TERMINAL SUMP TANK, APPROXIMATELY 10 GALLONS ( .05 M3 )  OF CRUDE OIL SPILLED ON THE GROUND. COMPANY EMPLOYEES PROCEEDED IMMEDIATELY TO INITIATE  RECOVERY PROCEDURES.  NO INJURIES.",False,False,True,Crude Oil,False,0,0,0,0,False,False,5/17/2000,03:33:00,0,0
P00H0028,5,Accident,6/26/2000,13:30:00,British Columbia,Fort St. John,-120.85,56.25,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),0,0,Fort St. John Mainline,Transmission Line,0,Natural Gas,GAS,3rd Party / Other Company,Marginal Land,0,0,0,0.0,0.0,A LEAK DEVELOPED AT A CRACK ON THE BUTT END OF A PIPE SECTION.  THE CRACK PROBABLY DEVELOPED AS A RESULT OF THE FIT-UP PROCEDURES DURING CONSTRUCTION (PIPELINE CONSTRUCTED IN 1957).   THE CRACK MAY HAVE BEEN PLUGGED WITH WELDING SLAG WHICH GRADUALLY DISLODGED OVER TIME.  THE SECTION OF LINE WAS CUT OUT AND REPLACED.,False,False,True,Natural Gas,True,0,0,0,0,False,False,6/26/2000,20:10:00,0,0
P00H0029,5,Incident,6/21/2000,00:00:00,British Columbia,Fort St. John,-120.85,56.25,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),Mcmahon Gas Plant,Gas Processing Plant,0,0,0,Other,OTHER,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,"WHILE PREPARING TO CHANGE THE FILTER ON A STABILIZER, THE OPERATOR FORGOT TO CLOSE SOME VALVING.  LIQUIDS FILLED THE FILTER VESSEL AND WERE SPITTING OUT OF A BLEED VALVE ONTO THE GROUND.  THE PROBLEM WAS NOT REALIZED FOR SEVERAL HOURS.  SPILL CONTAINED WITHIN ONSITE DITCH.",False,False,True,Other,False,0,0,0,0,False,False,6/21/2000,12:30:00,0,0
P00H0022,5,Incident,5/1/2000,07:30:00,British Columbia,East Pine,-121.21666667,55.71666667,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),Pine River Gas Plant,Gas Processing Plant,0,0,0,Other,OTHER,Employee / Contractor (Onsite),Station Property,0,0,0,200.0,0.0,"A VALVE AT THE EFFLUENT POND HAD FROZEN OPEN DURING THE WINTER SEASON.  AT SPRING THAW, THE VALVE HAD THAWED AND APPROXIMATELY 164 - 200 M3 OF WASTE WATER FLOWED ONTO THE PLANT SITE ",False,False,True,Other,False,0,0,0,0,False,False,0,00:00:00,0,0
P00H0023,5,Incident,5/8/2000,13:18:00,Ontario,Jellicoe,-87.51666667,49.68333333,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,Compressor Station 77,Compressor Station,0,0,0,Natural Gas,GAS,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,"MULTIPLE FATIGUE CRACKS INITIATING AT MANUFACTURING DEFECTS IN A SOCKET WELD FITTING ON THE ""C"" PLANT COOLER ALLOWED A NEGLIGIBLE AMOUNT OF GAS TO ESCAPE.  THERE WERE ALSO A LARGE AMOUNT OF SULPHIDE INCLUSIONS IN THE FITTING MATERIAL WHICH INCREASED THE SUSCEPTABILITY TO ROLLING DEFECTS DURING THE THREADING OPERATION.  TWO OTHER LEAKS AT SIMILAR FITTINGS ON THE COOLER WERE DUE TO IMPROPER TIGHTENING DURING INSTALLATION.",False,False,True,Natural Gas,False,0,0,0,0,False,False,0,00:00:00,0,0
P00H0025,5,Accident,5/8/2000,08:30:00,Ontario,Upsala,-90.46666667,49.05,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,Compressor Station 62,Compressor Station,0,0,0,Natural Gas,GAS,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,A LEAK ORIGINATED AT A HAIRLINE CRACK  IN THE SOCKET WELD  ATTACHING A  3/4 INCH DRY SEAL GAS SUPPLY PRESSURE TAP TO THE DISCHARGE SIDE OF A COMPRESSOR UNIT.  THE WEIGHT OF THE TAP ASSEMBLY COMBINED WITH NORMAL MECHANICAL VIBRATIONS CAUSED A WELD FATIGUE CONDITION.,False,False,True,Natural Gas,False,0,0,0,0,False,False,5/10/2000,16:20:00,0,0
P00H0034,5,Incident,6/21/2000,00:00:00,British Columbia,Fort St. John,-120.85,56.25,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),Booster Station 14,Compressor Station,0,0,0,Other,OTHER,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,A PUMP DID NOT SHUT OFF AS DESIGNED WHEN THE WASTE OIL PRODUCTS TANK WAS FULL.  100-500 LITRES OF THE WASTE PRODUCT  WAS SPILLED.  HAZCO ENVIRONMENTAL SERVICES CLEANED UP THE SITE AND DISPOSED OF THE WASTE OIL.,False,False,True,Other,False,0,0,0,0,False,False,7/19/2000,00:00:00,0,0
P00H0035,5,Incident,7/29/2000,10:51:00,Saskatchewan,Cabri,-108.46666667,50.61666667,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,0,0,Line 100-3,Transmission Line,Pipe / Piping,0,0,3rd Party / Other Company,Station Property,Pipeline Operator,0,0,0.0,0.0,A CONTRACTOR WORKING FOR TRANSCANADA PIPELINE WAS EXCAVATING OVER LINE 3. THE EXCAVATED MATERIAL (CONTAINING ROCKS) SCRATCHED AND DAMAGED THE PIPE SURFACE OF LINE 100-3.  DAMAGE WAS WITHIN CODE SPECIFICATIONS AND THE PIPE WAS RECOATED.  THE TCPL INSPECTOR HAD NOT RECEIVED TRAINING ON TCPL'S NEW OPERATING PROCEDURE WHICH REQUIRED A SAFE WORKING DISTANCE FORM BURIED FACILITIES.,False,False,False,0,False,0,0,0,0,False,False,8/1/2000,15:48:00,0,0
P00H0030,5,Accident,6/28/2000,21:30:00,British Columbia,Burnaby,-122.95,49.26666667,Head Office,HEAD OFFICE,Trans Mountain Pipeline Ulc,Burnaby Terminal,Terminal,0,0,0,0,0,3rd Party / Other Company,Station Property,0,0,0,0.0,0.0,A FIRE OCCURRED IN THE MECHANICAL MAINTENANCE BUILDING AT THE TERMINAL.  THE BURNABY FIRE DEPARTMENT WERE NOTIFIED AND THE FIRE WAS EXTINGUISHED.  THE SOURCE OF THE FIRE WAS PROBABLY AN ELECTRICAL APPLIANCE.,True,False,False,0,False,0,0,0,0,False,False,6/29/2000,10:50:00,0,0
P00H0031,5,Incident,6/20/2000,04:00:00,Ontario,Chalk River,-77.45,46.01666667,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,0,0,Line 1200-1,Transmission Line,Pipe / Piping,0,0,3rd Party / Other Company,Marginal Land,3rd Party - Other,0,Other Threat,0.0,0.0,"A TRAIN DE-RAILMENT OCCURRED WHERE THE RAILWAY CROSSES LINES 1200-1 AND 1200-2 (CASED CROSSING) NEAR CHALK RIVER, ONTARIO. AS A SAFETY MEASURE, TCPL REDUCED THE OPERATING PRESSURE IN THAT SECTION OF THE PIPELINE SYSTEM BY 5% UNTIL THEY COULD VERIFY THE INTEGRITY OF THE LINES.  THE PRESSURE RESTRICTION WAS LIFTED WHEN IT WAS DETERMINED THAT THE LINES HAD NOT BEEN DAMAGED.",False,False,False,0,False,0,0,0,0,True,False,6/20/2000,04:30:00,0,0
P00H0038,5,Incident,8/14/2000,08:00:00,British Columbia,Fort St. John,-120.85,56.25,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),Mcmahon Gas Plant,Gas Processing Plant,0,0,0,Other,OTHER,Employee / Contractor (Onsite),Water / Wetlands,0,0,0,1.0,0.0,A LEAK IN ONE TUBE OF THE LEAN OIL COOLERS ALLOWED LEAN OIL TO LEAK INTO THE COOLING WATER SYSTEM AND INTO THE PEACE RIVER.  THE TUBE WAS PLUGGED.  OIL ABSORBENT MATERIAL WAS USED ON THE SKIMMING BAYS AND ON THE RIVER TO COLLECT AS MUCH HYDROCARBONS AS POSSIBLE.,False,False,True,Other,False,0,0,0,0,False,True,8/14/2000,15:10:00,0,0
P00H0039,5,Accident,8/16/2000,11:25:00,British Columbia,Buick,-121.275,56.75972222,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),Booster Station 9,Compressor Station,0,0,0,Sour Gas,GAS,Employee / Contractor (Onsite),Station Property,0,0,0,30000.0,0.0,EXCAVATION WORK WAS BEING DONE AROUND THE VALVE WHEN EARTH FELL  ON THE VALVE.  THE IMPACT RESULTED IN THE FAILURE OF THE1/2-INCH NIPPLE ON THE 1/2-INCH BODY BLEED VALVE AND THE RELEASE OF SOUR GAS.,False,False,True,Sour Gas,False,0,0,0,0,False,False,8/16/2000,15:40:00,0,0
P00H0033,5,Accident,6/28/2000,16:30:00,Saskatchewan,Liebenthal,-109.53333333,50.66666667,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,0,0,Line 100-6,Transmission Line,0,Natural Gas,GAS,Employee / Contractor (Onsite),Marginal Land,0,0,0,0.0,0.0," A 1/2""  NIPPLE ON THE 1/2"" POWER GAS LINE TO THE VALVE BROKE ALLOWING A NEGLIGIBLE AMOUNT OF GAS TO ESCAPE.  THE NIPPLE ASSEMBLY PROVIDES A MEANS FOR DE-PRESSURIZING THE POWER GAS LINE THROUGH A 1/2"" PLUG VALVE DURING ACTUATOR SERVICE.  A NEW, LIGHTER WEIGHT VALVE WAS INSTALLED AT THIS LOCATION.",False,False,True,Natural Gas,False,0,0,0,0,False,False,7/3/2000,13:30:00,0,0
P00H0036,5,Incident,7/30/2000,11:19:00,Ontario,Thunder Bay,-89.31666667,48.4,Head Office,HEAD OFFICE,Transcanada Pipelines Ltd.,Compressor Station 68,Compressor Station,0,0,0,Natural Gas,GAS,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,"AN ELECTRICAL FUSE BLEW ON A CONTROL BLOCK WHICH CONTROLS THE UNIT'S NORMAL VENT, EMERGENCY VENT AND THE SUCTION AND DISCHARGE VALVE SOLENOIDS.  WHEN THE CONTROL BLOCK FAILS, THE CONTROL LOGIC SHOULD SIGNAL THE UNIT VALVES TO CLOSE AND THE UNIT VENT VALVES TO OPEN.  HOWEVER, IN THIS INSTANCE THE VENT VALVES OPENED BUT THE UNIT SUCTION AND DISCHARGE VALVES FAILED TO CLOSE.  IT WAS FOUND THAT THE UNIT ISOLATION FAILURE LOGIC HAD NOT INCLUDED THE UNIT VENT VALVES.  ",False,False,True,Natural Gas,False,0,0,0,0,False,False,8/1/2000,15:54:00,0,0
P00H0037,3,Accident,8/7/2000,04:30:00,British Columbia,Othello,-121.35,49.38333333,Head Office,HEAD OFFICE,Westcoast Energy Inc. (Dba Spectra Energy Transmission),0,0,Mainline,Transmission Line,Pipe / Piping,Natural Gas,GAS,SCADA,Marginal Land,0,0,0,0.0,0.0,"THE 30 INCH MAINLINE RUPTURED AT MP 569.9 NEAR EXIT 217 ON THE COQUIHALLA HIGHWAY.  THE PIPELINE RUPTURED AS A RESULT OF THE EXTENSION IN OVERSTRESS OF A REGION OF CRACKING WHICH HAD OCCURRED AT A LOCALIZED ""HARD SPOT"" ON THE EXTERIOR OF THE PIPE.  SHALLOW PITTING CORROSION HAD OCCURRED COINCIDENT WITH THE ""HARD SPOT"" AND PROBABLY FACILITATED THE INITIATION OF CRACKING.",False,False,True,Natural Gas,True,True,0,0,0,True,False,8/7/2000,09:00:00,0,0
P00H0040,5,Accident,8/24/2000,13:45:00,Manitoba,Cromer,-101.235,49.73138889,Head Office,HEAD OFFICE,Enbridge Pipelines Inc.,Cromer Pump Station,Pump Station,0,0,0,0,0,Employee / Contractor (Onsite),Station Property,0,0,0,0.0,0.0,A TANK HAD BEEN REMOVED FROM SERVICE AND CLEANED SO THAT IT COULD BE REPAIRED.  A SMALL AMOUNT OF OIL THAT HAD SOLIDIFIED INSIDE ONE OF THE LEGS OF THE FLOATING ROOF BEGAN TO MELT AND POOL ON THE FLOOR.  A SPARK FROM THE WELDING ACTIVITIES IGNITED THE OIL.  THE FIRE WAS QUICKLY EXTINGUISHED BY COMPANY EMPLOYEES.,True,False,False,0,False,0,0,0,0,False,False,8/25/2000,11:15:00,0,0
